,pred:COLLISION_RAIL,pred:HANDLING_NO_LIFT,pred:IMPACT_TAP,pred:PICKED_UP_CARRIED,pred:ROLLING,pred:ROLLING_PICKUP,pred:STATIONARY,pred:TRACK_STEP_DROP
true:COLLISION_RAIL,5,1,0,1,1,1,0,1
true:HANDLING_NO_LIFT,0,9,0,4,0,0,1,0
true:IMPACT_TAP,0,1,0,0,0,0,0,0
true:PICKED_UP_CARRIED,0,4,0,30,0,0,4,1
true:ROLLING,0,0,0,2,11,0,1,4
true:ROLLING_PICKUP,1,0,0,4,0,4,0,1
true:STATIONARY,0,0,0,0,0,0,20,0
true:TRACK_STEP_DROP,0,0,0,0,5,0,0,5
