path,bytes,sha256,represented_by_manifest,diagnostic_name
experiments/research_ball_r1_pickup_precision_1b/raw/field-pickup-precision-1b-20260904-rolling_pickup-r09.jsonl,553852,8e96e630d5c2cb5fbbf50f61d598bb5a65cf78aed8c5422ce1b70d4a8ebdf7be,1,0
experiments/research_ball_r1_pickup_precision_1b/raw/field-pickup-precision-1b-20260904-rolling_pickup-r10.jsonl,552980,6ec8ff46ff25fd9eb4561a4936821fa50e9d5606c2f5264de45ec332486b8e7a,1,0
experiments/research_ball_r1_pickup_precision_1c/raw/field-pickup-precision-1c-20260904-pickup_carry-r01.jsonl,502727,184aa11ea035919a7e84000234ffc2d750685fdc56f4d01f811aff429304207f,1,0
experiments/research_ball_r1_pickup_precision_1c/raw/field-pickup-precision-1c-20260904-pickup_carry-r02.jsonl,503283,ce8dea5507d6727ba73da8bbca3e866fac80c627f60d7bca137428f5c2c7b650,1,0
experiments/research_ball_r1_pickup_precision_1c/raw/field-pickup-precision-1c-20260904-pickup_carry-r03.jsonl,501971,222cf4a18fe799a1d62ddb5117c69811ea223717a858dc685e92bc8fd8b24aae,1,0
experiments/research_ball_r1_pickup_precision_1c/raw/field-pickup-precision-1c-20260904-pickup_carry-r04.jsonl,503225,1bf0c66d98a71203dcf7f9b55cebdb7ee0827a6da025379ab337c5ad4bbe9128,1,0
experiments/research_ball_r1_pickup_precision_1c/raw/field-pickup-precision-1c-20260904-pickup_carry-r05.jsonl,502288,33c8649251f207d7b0730108ab34d34e26e6d4e3f4325d162edb57a500e51568,1,0
experiments/research_ball_r1_pickup_precision_1c/raw/field-pickup-precision-1c-20260904-pickup_carry-r06.jsonl,502513,8b91632d883db154686f1c6f7c65c7f1a83dc2862fc5458e3d503597dc6bece8,1,0
experiments/research_ball_r1_pickup_precision_1c/raw/field-pickup-precision-1c-20260904-pickup_carry-r07.jsonl,501684,fddb2f20230405c6ca4c9f0fc40b016c0422525e11e9fdbf6c99d48fecf78f4d,1,0
experiments/research_ball_r1_pickup_precision_1c/raw/field-pickup-precision-1c-20260904-pickup_carry-r08.jsonl,501871,ff5db4559e3eade7c8710277e187754a335e4a989b3cca8e0e7cb7d34af98fa7,1,0
experiments/research_ball_r1_pickup_precision_1c/raw/field-pickup-precision-1c-20260904-pickup_carry-r09.jsonl,500230,9906173febb77a90335713b9b047bdbe7b17b92627d58d5cd3d4b0afc8742f50,1,0
experiments/research_ball_r1_pickup_precision_1c/raw/field-pickup-precision-1c-20260904-pickup_carry-r10.jsonl,502359,ab09a350f495ac40db80a6f181395576d65c486bb90acdd7572aa9988e531d9b,1,0
experiments/research_ball_r1_pickup_precision_1c_drop/raw/field-pickup-precision-1c-drop-20260904-b-pickup_drop-r01.jsonl,637510,bfe05eddb1e1b95bd6d1329a4407b3049347875e4a4195a109f34bc34780ac1e,1,0
experiments/research_ball_r1_pickup_precision_1c_drop/raw/field-pickup-precision-1c-drop-20260904-b-pickup_drop-r02.jsonl,637871,3159500c186d344cf7cde7cd2910986851d1958a6646ad6449b982b4b583e6c3,1,0
experiments/research_ball_r1_pickup_precision_1c_drop/raw/field-pickup-precision-1c-drop-20260904-b-pickup_drop-r03.jsonl,637630,1f2cffc3a41c3382913469651282fdcd3ac5cee70e466a785b3f22f0147a6e45,1,0
experiments/research_ball_r1_pickup_precision_1c_drop/raw/field-pickup-precision-1c-drop-20260904-b-pickup_drop-r04.jsonl,637381,20789d6a470a71d288c14b469c2b02c21997c4fce91d6696500779b5e26febe3,1,0
experiments/research_ball_r1_pickup_precision_1c_drop/raw/field-pickup-precision-1c-drop-20260904-b-pickup_drop-r05.jsonl,639026,3a11c66f3fc60365fa26efc2200607229b2ef277b52f2675c9a03fd80051dc28,1,0
experiments/research_ball_r1_pickup_precision_1c_drop/raw/field-pickup-precision-1c-drop-20260904-b-pickup_drop-r06.jsonl,636889,f49ab04b7134f55ae8d6a8e03dce7b429880c9ab75def88da26a607c612e8d29,1,0
experiments/research_ball_r1_pickup_precision_1c_drop/raw/field-pickup-precision-1c-drop-20260904-b-pickup_drop-r07.jsonl,638306,1ff5a46ae34b6370e03a1589935c4df18cbaee976f7cd25a0ca29ea29a335c4f,1,0
experiments/research_ball_r1_pickup_precision_1c_drop/raw/field-pickup-precision-1c-drop-20260904-b-pickup_drop-r08.jsonl,637138,a2fe722f9c1edeb9263282753e65b1bec4374c4623f299917922c56baf0f5795,1,0
experiments/research_ball_r1_pickup_precision_1c_drop/raw/field-pickup-precision-1c-drop-20260904-b-pickup_drop-r09.jsonl,636079,7555ff405a758f6c33ba8ccc8abf111dcccf84035c36419f28c3fc36787cf989,1,0
experiments/research_ball_r1_pickup_precision_1c_drop/raw/field-pickup-precision-1c-drop-20260904-pickup_drop-r01.jsonl,604617,fd0cd1c7ef5c21814106b53f47956c77d3a6d914e8b43cb7934d7acfe5ccdbc7,1,0
experiments/research_ball_r1_pickup_precision_1d_gentle/raw/field-pickup-precision-1d-gentle-20260904-putt_gentle-r01.jsonl,527967,6aa4c62d8ed53a36789a07c610d57dd802c7e72249df084313a24d19728c7560,1,0
experiments/research_ball_r1_pickup_precision_1d_gentle/raw/field-pickup-precision-1d-gentle-20260904-putt_gentle-r02.jsonl,528773,48221dabaf0ea2bd2832e58148466a1a33f741eea8a40492a67c862cccb7d335,1,0
experiments/research_ball_r1_pickup_precision_1d_gentle/raw/field-pickup-precision-1d-gentle-20260904-putt_gentle-r03.jsonl,529304,7e0e1ef7b1d2302a495592b24439389175d8d725bbe2b838f33671c632eb3e1c,1,0
experiments/research_ball_r1_pickup_precision_1d_gentle/raw/field-pickup-precision-1d-gentle-20260904-putt_gentle-r04.jsonl,530882,9c0a028334ae4eba29ba40e8a325c5ec9d74da203b19ffbdaed55c07b2498865,1,0
experiments/research_ball_r1_pickup_precision_1d_gentle/raw/field-pickup-precision-1d-gentle-20260904-putt_gentle-r05.jsonl,530071,7f87c9d0e2bf1eea137b50154a14fd0236969d408c0ea586aef27697b4ffaaca,1,0
experiments/research_ball_r1_pickup_precision_1d_gentle/raw/field-pickup-precision-1d-gentle-20260904-putt_gentle-r06.jsonl,529720,6354e946eedab54ef776d30512281d32641e1c513318766002459997479e9f2a,1,0
experiments/research_ball_r1_pickup_precision_1d_gentle/raw/field-pickup-precision-1d-gentle-20260904-putt_gentle-r07.jsonl,529475,45e56c55a903b5af5d92c90b74baebb22d49a54c43bab3e3a865aff59353b4e6,1,0
experiments/research_ball_r1_pickup_precision_1d_gentle/raw/field-pickup-precision-1d-gentle-20260904-putt_gentle-r08.jsonl,530096,f575c200f613e236616b8186b369ed748be1e33de6e4b85e1c631d3a55d41cc3,1,0
experiments/research_ball_r1_pickup_precision_1d_gentle/raw/field-pickup-precision-1d-gentle-20260904-putt_gentle-r09.jsonl,531011,001d6b5fe3b4f81c3578a358599687d17e47ec46332bd9af5fb612c4b0516764,1,0
experiments/research_ball_r1_pickup_precision_1d_gentle/raw/field-pickup-precision-1d-gentle-20260904-putt_gentle-r10.jsonl,531468,a72248bbe68c9eda935a498f6dd4118c61326b23dcbb759ff02e55f018167ae0,1,0
experiments/research_ball_r1_pickup_precision_1d_gentle/raw/field-pickup-precision-1d-gentle-replacement-20260904-putt_gentle-r01.jsonl,537964,bf65f21c63913badc36cc585d852e11fff035e80a73759c50de372a75c953d4a,1,0
experiments/research_ball_r1_pickup_precision_1e_rail/raw/field-pickup-precision-1e-rail-20260904-putt_rail_collision-r01.jsonl,569911,df1cd907e3f16a7bf4dfb9bff5870e4960c8f7733ef554190aacf3875ff18f36,1,0
experiments/research_ball_r1_pickup_precision_1e_rail/raw/field-pickup-precision-1e-rail-20260904-putt_rail_collision-r02.jsonl,570029,8ac825f813e72f40f0eb1c13acfdaadac40ae9d21ee7f05162cf3049126fb8d1,1,0
experiments/research_ball_r1_pickup_precision_1e_rail/raw/field-pickup-precision-1e-rail-20260904-putt_rail_collision-r03.jsonl,569267,48561307bf0612e803bb9c1416423ea13d90826a602eb5772248325e275fec8d,1,0
experiments/research_ball_r1_pickup_precision_1e_rail/raw/field-pickup-precision-1e-rail-20260904-putt_rail_collision-r04.jsonl,570784,a5f28e7a9a198609f327c0690605cb8877334617223633a2342c52a0465bcf65,1,0
experiments/research_ball_r1_pickup_precision_1e_rail/raw/field-pickup-precision-1e-rail-20260904-putt_rail_collision-r05.jsonl,569100,3a709572ec24a62378941bfc4fa36024b1184ac8ebb7fa64545c9b9e0adeaced,1,0
experiments/research_ball_r1_pickup_precision_1e_rail/raw/field-pickup-precision-1e-rail-20260904-putt_rail_collision-r06.jsonl,570780,c056b97d1a5c6460e87746ce3dab7253741c6237d91327b0d977c348618ee008,1,0
