ambiguous_contacts,archival_quality,authority,bmi_accel_near_rail_samples,bmi_gyro_near_rail_samples,category,context_bytes,count_incomplete,episode_id,event_truth,go_us,interpretation,label,manifest,operator,pickup_candidates,quality_breaks,raw_issues,samples,session,sha256,source,stroke_candidates,surface,unknown_onsets
0,legacy_exploratory,False,0,0,01_early_firmware_and_motion_tests,1256,False,tag-stationary-v0.1.6-host-audit,UNAVAILABLE,,exploratory_only,stationary,,unspecified,0,0,,64,unspecified,96d452c7c31c37cc496364a7bb5a6e53b7dcf03bea41734371f1aead07d7589b,datasets/putttrack_imu_dataset_20260904.zip::putttrack_imu_dataset_20260904/data/01_early_firmware_and_motion_tests/tag-stationary-v0.1.6-host-audit.jsonl,0,unspecified,0
0,legacy_exploratory,False,0,0,01_early_firmware_and_motion_tests,1256,False,tag-stationary-v0.1.6-interactive-retry-smoke,UNAVAILABLE,,exploratory_only,stationary,,unspecified,0,0,,1351,unspecified,25a6f68c00823eccd540fb7bb9614657c78e0cfb706ccffda9aec6f59ba8fa62,datasets/putttrack_imu_dataset_20260904.zip::putttrack_imu_dataset_20260904/data/01_early_firmware_and_motion_tests/tag-stationary-v0.1.6-interactive-retry-smoke.jsonl,0,unspecified,0
0,legacy_exploratory,False,0,0,01_early_firmware_and_motion_tests,1256,False,tag-stationary-v0.1.6-interactive-smoke,UNAVAILABLE,,exploratory_only,stationary,,unspecified,0,0,,257,unspecified,4f022fb7bb6bdae9abe20e5446a155f5ee095c4ad78505cd9d84526fbe2f97b3,datasets/putttrack_imu_dataset_20260904.zip::putttrack_imu_dataset_20260904/data/01_early_firmware_and_motion_tests/tag-stationary-v0.1.6-interactive-smoke.jsonl,0,unspecified,0
0,legacy_exploratory,False,0,0,01_early_firmware_and_motion_tests,1256,False,tag-stationary-v0.1.6-post-confirm,UNAVAILABLE,,exploratory_only,stationary,,unspecified,0,0,,64,unspecified,2e0158d0d002f627d3cbe5002db956e696e026569aed43affd6d17c397de3195,datasets/putttrack_imu_dataset_20260904.zip::putttrack_imu_dataset_20260904/data/01_early_firmware_and_motion_tests/tag-stationary-v0.1.6-post-confirm.jsonl,0,unspecified,0
0,legacy_exploratory,False,0,0,01_early_firmware_and_motion_tests,1256,False,tag-stationary-v0.1.6-test,UNAVAILABLE,,exploratory_only,stationary,,unspecified,0,0,,170,unspecified,53258c8c578f929f0bff5b9f304b4cbaf4a8f2dccf97b5c35ebb0e9168e39592,datasets/putttrack_imu_dataset_20260904.zip::putttrack_imu_dataset_20260904/data/01_early_firmware_and_motion_tests/tag-stationary-v0.1.6-test.jsonl,0,unspecified,0
0,legacy_exploratory,False,0,0,01_early_firmware_and_motion_tests,1256,False,tag-stationary-v0.1.6-wait-check,UNAVAILABLE,,exploratory_only,stationary_wait,,unspecified,0,0,,64,unspecified,0877538eae504105471b13b8b45f9f41bbf431b341c858f8c4f23e867e61dccb,datasets/putttrack_imu_dataset_20260904.zip::putttrack_imu_dataset_20260904/data/01_early_firmware_and_motion_tests/tag-stationary-v0.1.6-wait-check.jsonl,0,unspecified,0
0,legacy_exploratory,False,0,0,01_early_firmware_and_motion_tests,1256,False,tag-stationary-v0.1.7-post-confirm-frozen,UNAVAILABLE,,exploratory_only,stationary,,unspecified,0,0,,1024,unspecified,b5efe934a2fbfddd47a700c59d5805a18326c763e4a36a57bd2f43e59e99ed47,datasets/putttrack_imu_dataset_20260904.zip::putttrack_imu_dataset_20260904/data/01_early_firmware_and_motion_tests/tag-stationary-v0.1.7-post-confirm-frozen.jsonl,0,unspecified,0
0,legacy_exploratory,False,0,0,01_early_firmware_and_motion_tests,1256,False,tag-stationary-v0.1.7-post-handling-002-frozen,UNAVAILABLE,,exploratory_only,stationary,,unspecified,0,0,,1024,unspecified,bd2af6c3bf66bc0323de31ee8e7fe03a514486d8d103b736ca50c7b7388cca60,datasets/putttrack_imu_dataset_20260904.zip::putttrack_imu_dataset_20260904/data/01_early_firmware_and_motion_tests/tag-stationary-v0.1.7-post-handling-002-frozen.jsonl,0,unspecified,0
0,legacy_exploratory,False,0,0,01_early_firmware_and_motion_tests,1256,False,tag-stationary-v0.1.7-test-frozen,UNAVAILABLE,,exploratory_only,stationary,,unspecified,0,0,,1024,unspecified,5a7d862bef12b456d7f45667ed5cb31f533e9ae5b6817a10b9c54e56a8276657,datasets/putttrack_imu_dataset_20260904.zip::putttrack_imu_dataset_20260904/data/01_early_firmware_and_motion_tests/tag-stationary-v0.1.7-test-frozen.jsonl,0,unspecified,0
0,legacy_exploratory,False,0,0,01_early_firmware_and_motion_tests,1256,False,tag-stationary-v0.1.7-test-window,UNAVAILABLE,,exploratory_only,stationary,,unspecified,0,0,,163,unspecified,c0865dccc3ad941afb3d65c309c4719747b26c02703e9f1057108cbf6b8df5e5,datasets/putttrack_imu_dataset_20260904.zip::putttrack_imu_dataset_20260904/data/01_early_firmware_and_motion_tests/tag-stationary-v0.1.7-test-window.jsonl,0,unspecified,0
